Student_ID,Gender,Age,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,B_or_Higher,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S1000,0,22,52.29,55.03,57.82,84.22,74.06,3.99,85.9,0,6.2,0,1,1,Medium,5,4.7
S1002,1,24,57.19,67.05,93.68,67.7,85.7,5.05,73.79,0,20.7,0,1,3,Low,6,6.2
S1003,0,24,95.15,47.79,80.63,66.06,93.51,6.54,92.12,1,24.8,1,1,1,High,3,6.7
S1004,0,23,54.18,46.59,78.89,96.85,83.7,5.97,68.42,0,15.4,1,1,1,High,2,7.1
S1005,1,21,,78.85,43.53,71.4,52.2,6.38,67.29,1,8.5,1,1,4,High,1,5.0
S1008,0,21,85.97,84.42,90.87,57.05,56.33,0.51,94.01,1,8.0,0,0,2,Low,9,8.8
S1010,0,23,85.72,83.52,97.43,67.29,76.95,4.59,97.62,1,13.2,0,1,1,Low,1,4.1
S1011,0,20,77.75,52.14,91.37,52.24,87.85,7.61,90.95,0,21.3,0,1,3,Low,9,7.0
S1012,1,21,55.44,81.39,40.66,65.02,69.11,2.06,70.78,0,18.1,0,1,3,High,8,4.5
S1017,0,23,80.22,63.42,76.6,81.46,82.25,7.65,64.18,0,6.2,0,0,4,Medium,10,7.6
S1019,1,20,60.02,61.14,86.27,99.1,77.93,9.72,67.91,0,23.5,1,1,4,Low,10,4.4
S1020,1,18,77.13,69.94,46.7,,84.38,7.72,74.07,0,16.9,0,1,1,Medium,2,8.1
S1023,0,23,83.63,50.85,81.72,58.58,65.54,4.48,89.61,0,18.5,0,1,3,Low,1,8.6
S1024,0,20,84.53,51.11,40.36,55.59,68.89,9.94,76.05,1,10.9,1,1,1,Low,4,5.7
S1025,1,18,52.3,49.8,64.18,57.63,65.79,4.13,81.9,0,23.5,0,1,1,High,3,5.6
S1028,0,21,54.84,47.63,98.14,83.7,78.97,3.86,81.21,0,11.2,1,1,2,Low,3,4.0
S1029,0,23,61.8,72.28,79.32,71.04,95.61,6.91,93.12,1,7.0,0,1,3,High,3,6.7
S1030,0,22,52.58,54.85,53.46,76.89,94.32,7.88,58.0,0,28.3,0,1,1,Medium,9,4.1
S1031,1,22,99.81,45.54,61.31,52.37,96.38,8.43,69.03,1,19.1,0,1,2,Low,3,6.3
S1033,1,19,54.37,56.45,53.44,58.53,85.88,8.36,60.78,0,26.5,0,1,3,Low,4,6.8
S1034,0,21,51.01,70.67,73.69,68.01,80.46,6.68,69.73,0,5.8,0,1,3,Low,1,5.6
S1036,0,18,71.96,47.46,86.1,56.84,63.17,6.67,77.85,0,12.9,0,1,2,Low,10,8.8
S1038,1,18,96.17,95.92,60.45,84.63,70.49,3.51,87.34,1,22.9,1,1,3,Medium,2,7.6
S1039,0,23,79.97,92.61,79.62,83.85,91.7,2.97,50.98,1,22.0,0,1,2,Low,9,7.4
S1040,1,24,59.36,63.66,72.94,77.61,89.77,3.44,68.5,0,29.7,0,1,4,Low,7,8.3
S1041,1,23,89.11,81.94,56.71,97.63,60.57,5.51,80.04,1,28.1,0,1,2,Medium,6,5.7
S1042,1,20,97.79,45.27,56.32,75.36,59.19,0.52,79.16,1,9.7,0,1,2,Low,2,4.3
S1043,1,18,79.01,82.75,72.32,72.47,85.89,7.79,80.38,1,26.5,1,1,2,High,6,8.9
S1044,1,22,84.1,98.37,49.24,62.38,77.52,1.39,60.58,0,26.1,1,1,3,Medium,7,5.8
S1046,1,24,,69.91,44.14,77.41,87.63,1.98,96.58,0,13.5,0,1,3,Low,5,8.6
S1047,0,23,86.73,51.24,45.67,65.74,92.75,5.77,98.7,1,10.2,0,1,3,High,4,5.0
S1048,1,18,96.39,78.03,60.53,76.2,61.95,2.86,65.6,1,10.3,0,1,3,Medium,10,6.6
S1049,1,24,81.45,75.43,47.09,60.31,77.78,3.68,82.23,1,13.4,0,1,3,Low,1,7.8
S1051,0,20,58.58,41.56,63.98,99.98,93.64,8.47,68.43,0,19.6,1,1,4,Medium,7,4.1
S1053,0,23,76.6,75.7,97.18,92.12,55.21,5.78,75.06,0,13.9,0,1,1,Medium,5,8.4
S1054,1,19,,52.45,85.21,93.65,61.64,8.66,92.48,1,5.3,0,1,1,Medium,8,6.8
S1056,0,20,64.58,56.57,96.13,67.14,73.12,9.53,81.45,0,27.7,0,1,2,Low,4,6.0
S1059,1,24,73.19,90.75,65.29,81.24,52.55,1.75,98.89,0,10.1,0,0,3,Medium,8,5.2
S1062,0,22,99.64,84.62,59.93,60.36,78.78,4.26,98.85,1,21.2,1,1,4,Medium,5,8.9
S1063,1,22,81.13,63.7,74.72,92.44,55.52,5.13,64.51,0,19.4,0,1,2,Medium,4,8.6
S1064,1,20,51.79,45.72,54.4,71.05,67.6,8.3,70.46,0,10.0,0,1,3,Low,10,7.6
S1065,0,24,50.86,55.42,87.84,60.82,90.62,9.29,53.87,0,14.9,0,0,3,High,10,6.9
S1066,1,21,66.02,97.41,86.45,77.13,58.75,7.3,55.54,1,17.0,0,1,2,Low,8,4.0
S1067,1,18,59.79,58.62,57.78,93.17,94.13,7.6,60.83,0,19.6,0,1,4,Low,8,7.2
S1068,1,23,90.65,59.79,80.89,98.35,56.07,3.2,77.42,1,10.0,0,1,4,Low,5,7.9
S1070,1,21,62.93,88.41,73.75,50.28,73.89,8.85,80.31,1,12.7,0,1,1,High,1,4.9
S1071,0,23,66.28,56.54,76.04,56.74,97.26,7.86,79.19,0,21.5,0,1,1,Low,5,6.7
